"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81"
"FN1","15.50018","14.41796","15.31088","14.49291","16.77545","15.06358","16.57932","14.18128","14.40218","14.60278","14.63088","14.23860","15.50258","14.44266","14.72757","15.83217","14.55521","16.27001","14.18518","14.42146","15.30695","15.01195","14.95713","13.85858","14.39559","16.07202","14.75193","16.53050","15.95578","15.11596","15.39247","15.53839","14.22525","14.95735","14.88633","14.74076","16.36731","14.62589","14.85836","14.23140","15.38185","14.01155","16.04393","15.23217","14.20900","14.89477","14.40079","14.45716","14.83659","15.07168","14.45801","13.65071","14.55741","15.35364","13.77445","14.74622","14.95989","13.84354","14.64930","15.05442","14.71835","15.42789","14.50482","14.63367","14.63303","14.28469","15.07091","14.99481","14.82108","15.55488","15.12202","15.79368","16.12598","14.47135","15.65924","13.99862","14.58715","14.75285","15.90126","15.21462","15.54505"
"GELS","17.65959","17.14872","16.80209","17.46122","17.51939","16.33689","16.54397","16.47052","16.97601","16.52475","16.69671","16.75887","16.72485","16.86083","17.15561","17.01448","16.30202","17.48865","17.26501","16.73263","16.54786","16.84898","16.48954","16.44033","16.82613","16.98098","16.96401","17.52073","17.22569","17.20288","17.72459","16.91525","16.95718","17.13458","17.38642","17.23069","17.49012","16.50876","17.03191","17.10739","17.44577","17.06037","17.28995","17.12526","16.87706","16.62822","17.28997","16.88376","17.03344","16.91703","16.68707","16.61799","17.10146","17.19316","16.86748","17.37477","17.24581","15.77148","16.37821","17.30538","17.19350","17.57141","17.42646","17.48802","17.13483","16.42425","17.12495","16.61959","16.79871","17.20084","16.91883","17.29527","17.50989","16.96446","17.54406","17.19302","16.45338","16.59023","16.33566","16.62464","16.54505"
"HPT","21.27505","21.76013","22.74098","21.05141","22.14364","21.32528","21.99257","23.39412","21.65493","20.76584","20.87932","20.81963","20.88635","22.98855","21.28555","22.89456","21.33429","22.21306","21.08580","22.33812","22.09541","21.45105","22.76349","21.68118","23.13601","22.49406","23.24901","20.80529","22.52925","19.36765","21.53388","20.79701","22.29865","21.92432","21.66783","21.71241","21.88647","22.97984","21.68918","23.13906","21.25684","22.70698","21.95486","21.56508","22.35098","22.71259","23.17425","22.87885","21.59788","22.70575","22.27459","21.89431","23.32775","22.00985","22.53144","22.08580","21.44913","23.10609","21.73682","22.62902","23.06039","20.82663","21.31693","20.82194","20.08595","22.71531","22.09222","22.45447","21.46179","21.70287","22.29704","22.08931","20.63978","22.69700","20.58430","22.31951","22.53502","22.31407","22.94267","20.53611","21.82149"
"IC1","18.62460","18.62883","18.92342","18.48404","18.85926","18.76661","18.68845","18.49280","18.63118","17.85865","18.33294","17.76010","18.23875","18.95212","18.34254","18.68795","18.33863","18.77032","17.92008","18.73526","18.59975","17.76997","18.91916","18.44677","18.66326","18.74006","18.92665","18.43731","18.46694","18.71248","18.35653","18.66790","18.56014","18.37912","18.73429","18.17024","18.55396","19.47949","18.55283","18.90854","18.46855","18.81789","18.46713","18.41333","19.25820","18.59124","18.79552","18.68656","18.49989","19.29617","18.92370","18.68274","18.75486","18.56577","18.52997","18.42790","18.35331","18.59813","18.58001","18.55450","18.48290","18.48507","18.56686","18.46921","18.43686","19.08545","18.44050","18.48790","18.63025","18.37553","18.53114","17.65671","18.37198","19.05776","18.64624","18.79277","18.15951","18.47597","18.76045","18.64319","18.36271"
"IGF2","14.68045","14.60738","14.12631","14.44496","14.40483","14.05664","14.56108","13.89856","14.58456","14.19793","14.28356","13.90147","14.20650","14.38299","14.35518","14.52704","14.93534","14.66911","14.47182","14.34045","14.54593","13.40866","13.99162","13.99541","13.76703","13.92744","13.92437","14.84874","14.41964","15.02531","14.40490","14.16052","14.46242","14.42105","14.63948","15.22849","14.46481","14.03986","14.41497","14.64949","14.27280","14.43627","14.27034","14.66301","14.33214","14.42617","14.71928","14.50704","14.45196","14.71386","15.12028","14.63035","14.43075","14.26531","14.58341","14.86709","14.42691","14.06960","14.87497","14.88587","14.75413","14.53323","14.54209","14.45431","14.41279","14.67515","13.83753","14.25297","14.64350","14.19462","14.05707","14.38932","14.39129","14.48396","14.07346","14.39156","14.03100","14.18053","14.20361","14.35426","14.03124"
"ITIH4","18.93754","19.06119","19.19504","18.75811","19.35004","19.36122","19.51250","19.66627","19.17277","18.38386","18.84503","18.54390","18.76919","19.42125","18.74581","19.41191","19.30012","19.13134","19.04559","19.40367","19.07431","18.57100","19.69573","18.95259","19.29245","19.31173","19.40903","18.61512","18.97489","18.94558","18.96885","18.97323","19.22973","18.85839","19.19598","19.39556","19.15608","19.28854","18.99742","19.64047","19.11859","19.16457","19.15022","19.08624","19.41663","19.44430","18.44747","19.17318","19.05719","19.45816","19.48639","19.21611","19.43732","19.24652","19.36806","19.11022","18.81546","18.86480","18.76915","19.07388","19.28201","19.07996","18.90704","19.05385","18.98835","19.63716","18.98153","19.62810","18.99828","19.04205","19.00204","19.34791","18.81618","18.97218","19.15085","19.21409","19.62367","19.21905","19.90156","19.12453","19.03413"
"PLMN","17.43007","17.28315","17.67332","17.41305","17.54977","17.37863","17.88328","17.16085","17.89230","16.77592","17.49561","16.96482","17.24880","17.30544","17.31584","17.78514","17.74041","17.16639","17.25336","17.20298","17.41808","16.84101","17.24261","17.11994","17.42677","17.40302","17.40648","16.65158","17.46226","17.93684","17.08348","17.21851","17.12539","17.25166","17.59847","18.28172","17.80190","17.38070","17.42522","17.33639","17.58393","17.16166","18.02287","17.46833","17.33862","17.24933","17.37206","17.27049","17.60824","17.50718","17.71115","17.47394","17.78562","17.45320","17.35722","17.79219","17.15034","16.39187","17.41492","17.90960","17.10972","17.56436","17.86999","17.54340","17.85080","17.64322","17.60692","17.56354","17.76557","17.89171","17.80993","18.04964","17.45424","17.63322","17.30699","17.51963","17.21615","17.31088","17.48464","17.48651","17.05393"
"PON1","19.12501","18.49876","18.44306","19.59013","19.54748","18.50416","18.75950","18.58505","19.75757","18.24960","19.17425","19.56164","19.09621","18.65778","19.24361","19.15903","19.29243","19.07393","19.83021","19.00493","18.54937","18.98540","19.33014","18.81709","18.79269","17.99686","18.66213","19.44157","19.32683","19.63082","19.02984","18.80835","18.56074","19.21550","19.81998","19.44716","19.36758","19.30394","19.29090","18.46553","19.38158","18.94907","19.59728","19.17286","19.38239","19.10145","19.12910","19.03413","19.92180","18.63577","19.16700","19.05143","19.06883","18.58512","18.96843","19.05309","18.50527","17.25355","19.76903","19.85147","18.94499","19.51893","20.06351","19.64811","19.88391","19.28837","19.30316","18.62376","19.34802","19.10812","19.22803","19.84468","19.20179","18.95710","19.50557","19.55160","18.41069","19.13914","18.75093","18.99865","17.99034"
"RET4","18.68144","17.85143","18.12048","18.11858","17.46310","17.45147","18.02246","16.32102","18.39491","17.33343","17.37973","17.98832","17.93548","17.18941","18.05391","17.84572","17.89440","17.55151","17.74938","18.25795","18.25382","17.90535","16.87715","17.31315","16.67697","17.54394","17.36450","18.15352","18.00595","18.46274","18.27697","17.33803","16.51176","17.90042","18.39529","18.47908","17.93363","17.67075","17.66631","17.40120","19.01246","17.40129","17.97449","17.93385","17.73986","17.22412","17.06760","17.77821","18.12822","17.69812","18.46682","17.74800","17.52914","17.49286","17.92512","17.97323","18.08826","16.16320","18.21997","17.81020","17.63765","18.70355","18.50919","18.32614","18.01331","17.66756","18.11459","17.82485","18.01073","17.65428","18.13116","17.79819","18.17252","17.92531","18.43023","17.97146","17.53415","17.58742","17.40249","17.76969","17.03043"
"SHBG","15.42817","14.79787","14.74277","13.55668","15.71006","15.77779","14.99111","15.02137","15.35119","13.78834","15.69844","16.04389","14.49835","15.65019","14.56762","14.98690","14.51887","15.51504","14.90222","15.99138","14.49390","14.65534","14.70698","14.40303","14.92681","15.89481","15.96507","15.23046","14.32849","14.53661","14.72765","15.15896","15.39977","14.94970","14.72932","16.09821","15.57665","15.48452","15.21711","15.73104","14.45421","14.76618","14.35463","15.14235","15.88877","16.00094","15.57357","15.34098","15.03436","15.72268","16.23225","15.39247","14.61522","15.56843","15.26091","15.52718","14.75916","14.77556","15.87375","14.90946","16.48676","14.40599","14.45462","14.71970","14.87683","15.16963","15.78979","15.20562","14.41214","14.85323","14.70273","14.62318","15.87305","14.90092","15.79285","15.01661","15.76295","16.10608","15.19363","14.43324","14.66320"
